image,L2_eps16,L2_eps64,growth_pct,Linf,ssim_adv,floor,engaged
1233476865_1.png,3075.9,3715.1,20.8,97.0,0.4347,0.4721,True
1525918600_1.png,2457.6,3307.5,34.6,123.0,0.538,0.4149,False
178046512_1.png,3566.9,4125.9,15.7,108.0,0.4738,0.48,True
181707205_1.png,5521.4,5885.9,6.6,94.0,0.5909,0.562,False
1961032923_1.png,4183.0,4620.8,10.5,85.0,0.6331,0.7067,True
2061993362_1.png,2344.2,2888.7,23.2,74.0,0.4608,0.436,False
2099073485_1.png,2440.9,3310.4,35.6,97.0,0.429,0.3757,False
2139626906_1.png,6561.9,6889.3,5.0,130.0,0.3366,0.3165,False
2167874246_1.png,3302.8,3964.7,20.0,106.0,0.3208,0.2849,False
221629697_1.png,2614.5,3369.7,28.9,138.0,0.4313,0.3159,False
